a,b,c,d,e
	,,,,si spasima
	,,,,faceva facevano della angoscia
	,,,,che sente
749|750	si font molt malvés samblant d els deffendre|por le grant cop qu il ont veu,,e fiçieron mal senblante dese defender porlos grandes golpes|que façia,et font moult maluais samblant daus desfendre pour le grant cop quil ont veu,si si fanno malvagio sembianti di difendere per lo gran colpo|ch egli ànno veduto
751|752	et por l espee|que chescuns d els a ja sentie jusqu al sanc,iii,e porla espada|que auia sentido cadavno enlas carnes,et pour lespee|que cascuns de euls a sentue iusques au sanc,e per la spada|ch egli ànno sentita insin qua alle carni
753	Et Lancelos lor cort sus,et lancelot leur court sus,e lançarote no cato,Et lancelot,E Lancellotto|ch unque non
754|755|756	et en fiert I|el hialme|si qu il le fet flatir a terre d ambesdeus les paumes,et en fiert tellement ung ament le heaume qu il le fait flatir a terres,mas aquel|que derribo ante dio al otro vn tal golpe|por çima del yelmo quele fiço dar con anbas manos en tierra,qui pas ne se recroit en fiert vn amont sor le heaume|quil le fait flatir a terre dambes|ij,si rimuove|lor corre suso|e ne fiede l uno a monte ne l elmo sì gran colpo|ch elli il fa frattire a terra d amendune le palme
	,,,lez paumes,
757	Et quant li autre dui voient ce,Et quant les autres deux uoient ce,e desque los otros esto vieron començaron a foir,Et quant li autre doi voient chou,ME quando gli altri due vidono ciò
758	si tornent en fuies vers l uis a garison;,si tournent uers luys a garant,por guaresçer,si tornent en fuies,si tornarono inverso per fuggire a guarigione
759|760	et Lancelos vint ataignant le deerrain|si le fiert par entre l escu,Et lancelot uient attaignant le derrain par entre lescu,e lançarote alcanço|aquel que yua de tras,Et lancelot ataint le daarrain|si le fiert par entre se lescu,e Lancellotto viene agiugnendo il di dietro|si l fiede intra lo scudo
761	et le bras,et le col,e firiolo,et le col,e l braccio
762|763	si qu il li trenche le poing|et li escus chiet a terre,si lui trenche le bras:|et lescu chiet a terre,asi duramente entre el onbro y el escudo,Si quil li trenche le bras|et li escus chiet a terre,sicché gli trinca il pugno|e lo scudo cade a terra
764	et cil torne en fuies,,,Et cil torne en fuies,e que' torna in fuga
765	qui maheignié se sent,,que tenia enbraçado,qui mahaignies se sent,che magagnato|si sente
	,,que el braço conel escudo le fiço bolar en tierra,,
766	Et Lancelos vient a l autre,Lancelot court a lautre,e el cauallero fuese fuyendo,Et lancelot reuient a lautre,E Lancellotto ritorna a l altro
767	qui ja se relevoit sel fiert de l espee,qui ia se releuoit|et le fiert,ansi llagado|como estaua,qui ia se releuoit|si li donne,che si rilevava|si l fiede della spada
768	si grant cop qu il li fet le hialme voler en la place,si grant coup qu il lui fait uoler le heaume de la teste en la place,e lançarote fuese enpos el otro|que auia fincado,si grant cop|que il li fait voler le heaume de la teste en le place,si gran colpo|che gli fa l elmo volare nella piaza
	,,e firiolo,,
	,,asi enlo alcançado ençima del yelmo,,
769|770	Et quant cil sent son chief nu|si cria merci,Quant celui sent sa teste nue il crie mercy,que selo fiço volar dela cabeza|e el cauallero desque vido su cabeça desarmada Con pauor de muerte|que ovo pidio le merçed,Et quant il sent son chief descouuert|si li crie merci,;|e quando que' sente suo capo ignudo|sì grida mercé
771|772|773	et dist qu il ne l ocie pas|kar il est pres de sa volenté fere|Or te covient donc fet Lancelos fiancer,et dit qu il est prest de faire sa uoulente|Il te conuient denc promettre dit lancelot,e dixole ay buen cauallero no me matedes|que yo fare toda vuestra voluntad tu me juraras dixo lançarote,et dist quil ne lochie mie|quar il est presstl de sa volente faire|Lors te couuient|dont fai lancelot afiancer fait il,e dice|che non l uccida passo|ch egli è presto di sua volontà fare|vOr ti conviene dunque giurare|disse Lancellotto
774|775	que tu le cors mon seignor Galehout conduiras a la Dolerose Garde|et iluec le feras garder,que tu conduiras le corps de gallehaut a la douloureuse garde,que llebes el cuerpo demi señor galeote ala dolorosa guarda|e desque y fueres,que tu le cors monseignor Galeholt conduiras a la ioieuse garde|Et y soies,che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia|; nel luogo il farai guardare tanto
776	tant que je i viegne;,tant que ie y uiengne,,tant que iou y uiengne,ch io vi vegna
777|778	et se l en te demande|qui t i envoie,et se len te demande|qui te y enuoie,si te preguntaren quien te ymbia tu les diras,Et se on te demande|qui ti envoie,e se l uomo ti domanda chi ve l arà mandato
779	si diras « cil,si dis: celui,,Si di|que cil ti envoie,e tu lor di quelli
780	qui ot les ames blanches le jor,qui eut les blanches armes le iour,que el cauallero delas armas blancas,qui ot lez blanches armes le iour,ch ebbe l armi bianche il giorno
781	que li chastials fu conquis,que le chasteau fut cenquis,que el castillo conquisto te ymbia alla,que li castiaus fu conquis,che l castello fu conquiso
782	Et il li fiance,et cefui lui promet,e el cauallero selo juro,Et cil li fiance,E elli il giura
	,Lors prent lancelot la lame par le gros chief,,,
783|784	que tot ensi le fera il|,et la tire de,asi façer|e lançarote se fue|luego parala tumba,que ensi le fera il AN tel maniere com vous olsiles conquist lancelot le cors Galeholt|Et lors y|quant il ot au cheualier fait fianchier a faire sa volente|si prent le lame par le gros chief,ch elli insi el farà|Allor prende Lancellotto la lama per lo più grosso capo
	,,,si le tire par,
785	si tire de grant force qu a pou qu il ne se deront tos,si graut force|que a peu quil ne se derompt tout,e tomo a manos el cobertor Porel Cabo|que mas hera grueso,si grant force|que a poi quil ne sest tous derrompus,si tira per|si gran forza
	,,,,che a poco
	,,,,che non
	,,,,si dirompe tutto
786|787	si que li sans li vole par mi le nes|et par mi la boche,et,asi afuerça porlo leuantar quela sangre le quebro porla cabeça,Si que li sans vole parmi le nes|et parmi la bouche,e sì|che l sangue gli dirompe per me' el naso|e per me' la bocca
788	et li cors li sue d anguoisse,tant que le corps lui sue dangoisse,e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente|asi que,Et li cors li tressue de langoisse,e l corpo gli suda della angoscia
789	Mais por tote la destrece ne remaint qu il n ait la tombe levee en haut à; mes nule dolors qu il eust onques ne monte rien a cele dolor qu il ot,mais nulle douleur quil eust|mais ne monte riens a celle douleur qu il eust,por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado Mas nunca el tal duelo ovo|como estonçe,que il en a|Mais nulle dolors quil ait eue ne monte riens a celi quil ot,ma per tutte le distrezze non rimane|che non abbia la tomba levata in alti
	,,,,
	,,,,ch elli avesse unque mai non fu nulla inverso quello dolore quand
	,,e tal Pesar,,
790	quant il vit le cors Galehout tot ensi armé com il estoit;,quant il uist le corps de gallehaut tout arme ainsi comme il estoit,quando el vido el cuerpo de Galeote|e estaua armado de todas armas,quant il vit le cors Galeholt arme tout ensi com il estoit,e vide il corpo di Galeotto tutto insì armato com egli era
791	si trova s espee delés lui,Si trouua son espee empres lui,e tenia su espada cabe,Si troua lespee deles lui,eSi truova sua spada dallato a llui
792|793	qui molt estoit|et bone,qui tant estoit benne,si que hera muy buena,qui tant estoit bele,che molto era buona|e bella
794	et clere;,et belle,e clara,et boine,e sanza fallo della spada medesi|ma si sarebbe elli ucciso
795	et sans faille de l espee meesmes se fust il ocis se la damoisele ne li eust tolue erraument,et sans faulte il sen eust occiz se la damoiselle ne lui eust ostee,e sin falta el se ouiera conella muerto|si la donçella,& sans faille de lespee se fust il ocis se la damoisele ne li eust desfendu,se lla damigella non gliel avesse tolta|perciò rimase
796	,Lors fist lancelot une biere de fust,Que del lago auia venido delas manos no sela tirara|e luego fiço façer lançarote vnas andas,quar elle li osta lespee de sez mains|Lors fist lancelot vne biere de fust,Allor fece Lancellotto fare una lettiera di legno
797	et la fist covrir des plus riches pailes de laiens,et la fist couurir du plus riche drap de leans,e cobrir de muy Ricos paños,et le fist courir del plus riche paile de laiens,e le facce coprire del più ricco palio di là entro
798	et quant il l ot atornee al plus richement qu il pot li chevaliers prisons li dist Sire fet il se l en movoit tot de nuis ce seroit sens,Quant il leust apointe le mieulz qu il peut le cheualier prisonnier lui dist|Sire il seroit bon de emporter le corps de nuit,e poner enellas el cuerpo de Galeote|e el cauallero Dixo a lançarote señor yo vosloaria,Et quant il lot atorne au plus richement quil pot|si li dist li cheualiers,E quand elli l ebe aconcia al più riccamente|ch elli poté
	,,,,il cavaliere prigione gli disse
	,,,,Sire
	,,,,diss elli
	,,,,se l uomo movesse di notte
	,,,,ciò sarebe gran senno
799|800|801	—|Por quoi|? fet il,Pour quoy fait lancelot Pource fait il,si vos plugiese|que luego Mouiese de aqui conel cuerpo de galeote|Porque dixo lançarote,qui le deuoit mener Sire fait il|che seroit boin,— Perché|?|disse Lancellotto
802|803	—|Por ce que se li chevalier de cest païs savoient,que se les cheualiers de ce pais sauoient,porque señor dixo el cauallero|porque si los caualleros desta tierra lo supieren,que nous mouissons de nuit|pourcoi fait lancelot||que se li cheualier de chest pais le sauoient,— Per ciò|diss elli|che s|e cavalieri di questo paese sapessono
804	que l en len deust porter il feroient gaitier les trespas,que len le deust emporter ilz feroient garder le trespas,que de aqui lo queredes llebar faran guardar los tres pasos,que on len deust emporter|il feroient gaitier lez trespas,che l uomo ne l dovesse portare|elli farebono guardare intra passi
805	si qu il seroit arestés en alcun lieu ;,,asi que sera detenido en algund lugar,Si quil seroit arrestes en aucun lieu,sicché sarebbe arestato in alcuno luogo
806	et por ce vos loeroie je qu il meust orendroit,Et pour ce uous conseilleroie|que on partist,e poresto seria bien,Et pour chou vous loeroie iou quil meust orendroit,E perciò vo lodere' io|che vo' movereste oraindiritto
807|808	kar il seroit bien eslongiés ains qu il fust jors XX|lieues englesches,car il seroit bien eslongnie ains qu il feust iour dix lieues anglesches,que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote,Car il seroit eslongies|X|lieues ains quil fust iors,ché l uomo sarebbe bene islungato|leghe inanzi|che fosse giorno
809	Et il s i acorde bien;,Et il se y accorde,,Et il|si acorde bien,VEd e' vi s acorda bene
810|811	si met la litiere sor Il|palefrois amblans,si met la littiere sur deux pallefrois amblans,e luego fiço poner las andas sobre dos palafrenes muy andadores,si fait mettre le litiere sor|ij|palefrois,si mette la lettiera sopra due palafreni ambianti
812|813	et enportent ensi Galehout fors de sa region;|si en font li frere grant duel,et emportent ainsi gallehaut hors de la maison|Si en ont les freres grant deul,e lleuarlo,Et emportent ensi Galeholt hors de la maison|Si en ont li frere grant doel de ce,sinne portano Galeotto fuori della religione
814|815	et molt en sont corocié|et dolenta de ce,et sont dolens,asi Mas mucho ouieron gran pesar los frailes,,ma molto ne sono|e frati di là entro dolenti|e crucciati dell uomo
816	que l en l enporte,que on lemportoit,quando asi lo vieron lleuar,que on lemporte,che ne l porta
817	Et Lancelos le convoie grant piece de nuis plorant,Lancelot le compartie uoie grant piece de la nuit plourant|et plaignant,e lançarote fue gran pieça llorando conel cuerpo de Galeote,Et lancelot le conuoie grant piece de la nuit plaignant,sE Lancellotto l acompagna gran peza della notte piagnendo
818|819	et regretant sa proesce|et sa valor,et regrettant sa prouesse|et sa ualeur,e diçiendo sus proezas|e su valor,& plorant sa valour,e facendo duolo|e rigratando sua prodeza|e suo valore
820	et se ne fust la damoisele,Et se ne feust la damoiselle,e si no fuese porla donçella,Et se ne fust la damoisele,e se non fosse la damigella
821	qui avec lui estoit molt en eust plus fet qu il ne fist,qui auec lui estoit moult en eust fait plus quil ne faisoit:,que del lago auia venido Mucho fiziera mayor duelo,qui auec lui estoit|moult en eust plus fait,che con esso lui era|molto n avesse più fatto
822	mais ele l en detorna,mais elle len destourna,mas ella selo estoruaua,mais cele len destorna,che non fece|
	,,,,e l à gran peza insì acompagnato
	,,,,sì se ne tornò
823|824	et il deffendi al chevalier|que il nel feist en terre metre devant,Et lancelot commande au cheualier qu il ne feust enterre deuant quil uenist,e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo|Que el Cuerpo demi señor galeote no fagades enterrar fastaque yo mesmo alla vaya|e el Cauallero dixo,Et il commanda au cheualier quil ne fust enterres deuant chou quil venist a lui,ma inanzi difende elli al cavaliere|che l uomo nol facesse soppellire nella Gioisosla Guardia inanzi
825|826	que il fust venus|Si se part atant li uns de l autre,Si se depart de lui,que asi lo faria|entonçe se partio dellos lançarote,A tant sen part de lui lancelot,ch e' vi fosse venuto|si si parte atanto l uno da l altro
827|828|829	et il retorne a l abeie|si se couche c onques la nuit ne volt mengier ne boivre|por chose,et retourne a la religien se couchier,e tornose al abadia|mas en toda aquella noche no quiso comer ni veuer|por cosa,& retorne a labbaye|si se cosulche Ne onques la nuit ne volt mangier ne boire pour chose,Lancellotto ritorna alla badia|si si coricò|né unque la notte non volle mangiare né bere per cosa
830|831	que l en li deist ains plora|et dolosa tot adés;,et oncques ne uoulut la boire ne mengier,que le dixesen|e non fazia sino llorar|e mucho se quexaua,que on li deist|ains plor& dolosa tout ades,che l uomo gli dicesse|anzi piagne|e dolora tutto adesso
832|833	si li anuioit molt li jors|qui tant demoroit a venir,si lui ennuya moult le iour|qui tant demouroit a uenir,Porque tanto aquella noche le duraba,Si li anoia moult li iors|qui tant demoroit :,si gli anoiava molto il giorno|che tanto penava a venire
834	a Al matin,Et au matin,e luego,Et au matin,lsAl mattino
835|836	si tost com li jors aparut se leva|et oi messe entre lui,si tost comme le iour apparust se leua|et ouist messe lui,Que el dia aparesçio lançarote se leuanto,si tost com li iors apparut|se leua|et oy messe entre lui,si tosto come il giorno aparve|si leva Lancellotto|e udi messa intra lui
837	et la damoisele,et la damoiselle,e la donzella otrosi,et la damoisele,e la damigella
838|839	et puis s arma|Lors li dist ele les noveles de Boort,Lors elle lui dist nouuelles de boort,e fueron a oyr misa|e desque la misa fue aCabada Armose|e despidiose del fraile,lors li dist elle lez noueles de bohort,e poscia s armò|Allor gli disse la damigella novelle di Boordo
	,,e entro ensu camino conla donzella,,
	,,e ellos,,
	,,asi yendo la donçella le conto nuebas de boores,,
840	et ce qu ele en avoit veu devant Honguefort,et que elle lauoit ueu deuant a honguefort|et comment il le fait,e de|como le contesçiera enel castillo de ongeforte,comment elle lauoit veu deuant hongrefort,e ciò|ch ella n avea veduto davanti Unguelforte
841	et il en fu molt liés,et il en fut moult ioyeux,e el fue dello muy alegre,et il en fu moult lies,ed e' ne fu molto lieto
	,,,,Ed ella gli disse
	,,,,Sire
	,,,,e' vo va cheggendo
	,,,Et elle li dist,
	,,e ella le dixo sabed señor,,
842	Et ele li dist Sire il vos vet querant ne jamés ne finera tant qu il vos avra trové,Aprez elle lui dit|Sire il uous ua querant ne iamais ne finera deuant quil uous aura trouue,que vos a buscado|e nunca jamas quedara fastaque vos falle Ay donçella dixo lançarote,Sire il vous ua querant|ne iamais ne finera deuant ce quil vous asulra trouue,né giamai non finirà infino a|tanto che voi abbia trovato
	,,,,—Hal
	,,,,damigella
	,,,,diss elli
843|844|845|846	— Damoisele fet il se vos le cuidiés trover ains de moi je vos voldroie proier|que vos feissiés tant|por moi|que vos li portissiés ceste espee,Damoiselle fait lancelot se uous le trouuez auant|que moy ie uous uouldroie prier|que uous lui porteissiez ceste espee,si vos lo cuidades fallar yo vos querria rrogar|que fiziesedes tanto pormi quele llebasedes esta espada,|iou vous voldroie proier|que vous li portissies ceste espee,se voi il credete trovare anzi di me|i' vo vorrei pregare|che voi faceste tanto|per l amor di me|che voi gli portaste questa spada
847	qui fu mon seignor Galehout,qui fut a mon compaignen gallehaut,que fue demi señor galeote,qui fu monseignor Galeholt,che fu di monsignor Galeotto
848	et li dites qu il la DOrt de par moi,et lui dictes quil la porte de par moy,e dezilde quela traiga pormi amor,Et li dites quil le port de par moi,e gli dite|che lla porti da parte di me
849	que molt est bone,car elle est moult bonne|et belle,ca mucho es buena,quar elle est moult bone,ché molto est buona
	,,,et moult bele,
850|851	Et ele dist qu ele le trovera par tens|et bien fera cest message;,Et elle dist|que elle le trouuera par temps|et bien fera ce message,e fermosa yo lo fare dixo la donçella de grado,|que elle le trouuera bien par tamps|& bien fera ce dist cest message,Ed ella dice|ch ella il troverrà per tempo|e bene farà questo mesaggio
852	si s en part atant de lui,Si se part atant de elle,Luego se partio el vno del otro,Si sen part atant de lui,si si parte atanto di lui
853	et il s en vet droit vers le chastel de Floego,et sen ua uers le chasteau de florega,e lançarote se fue contra el castillo de florenga,Et il sen vait uers le castel de florega¬,Ed e' se ne va tutto diritto inverso el castello del Flego
	,,e andubo tanto,,
854	si i vint a hore de prime,si y uint entour prime,que llego alla ante de prima,Si y uin entor prime,si vi venne a ora di prima
855|856	Et il esgarde es pres defors la vile|si voit molt grant gent entor le feu ou l en devoit ardoir la suer Meleagan,et il regarde es prez hors la uille|si y uist moult grant gent entour ung feu ou len deuoit ardoir la seur de meleagant,e vio ante la villa gran jente alrrededor de vn fuego,Et il regarde en mi lez pres dehors la vile,Ed e' riguarda nel prato di fuori la villa|si vi vide molto grande gente intorno uno fuoco
857|858|859	et quant il aperçoit le feu|si a poor de la damoisele|Lors broche le cheval,Quant il apperceust le feu|si eut grant paour de la damoiselle|Lors frappe le cheual des esperons,e en aquel fuego auian de quemar ala hermanade meliangas|e lançarote,Si vit moult grant gent entor vn fu,e quando elli apressima al fuoco|si à paura della damigella|che già era menata al fuoco per distrugere|i brocca il cavallo delli isproni
860|861	et vint errant cele part tant com il puet del cheval traire|Et quant il est venus jusque la,et uient celle part,que aquello vido dio delas espuelas al cauallo|e llego alla,ou on deuoit ardoir le suer melyagant CNuant lancelot aperchut le fu,e viene in quelle parti correndo tanto come può del cavallo trarre|e quand egli è là venuto
862|863	si esgarde|et voit la damoisele,et quant il uoit la damoiselle,ca bien cuidaua,si ot moult grant paour de la damoisele,si vide la damigella
864|865	qui ja estoit amenee al feu|por destruire,qui ia estoit amenee au feu pour destruire laquelle estoit en une poure chemise,que ya quemauan la donçella,qui y ia estoit menee au fu pour destruire,che già era menata al fuoco per liverarla a morte
866|867|868|869	si estoit en pure sa chemise|et le tenoient|VI|pautonier trois d une part,et la tenoient six pautenniers|trois de une part,e quando el y llego vio la donçella estar ante el fuego envna muy pobre camisa|e tenianla seis billanos tres dela vna parte,Si estoit en vne poure chemise|& le tenoient|vi|dune part|&,Si era in sua pura camicia|e la tenieno vi|paltonieri|tre d una parte
	,,,pautonnier,
	,,,iij,
870	et trois d autre;,et trois dautre:,e tres dela otra,iij|dautre,e tre d altra
871	si n atendoient a geter le el feu fors le commandement as juges,et ne actendent la iecter au feu fors le commandement du iuge,e no esperauan al sino el mandamiento delos juezes parala hechar enel fuego,Si natendoient a geter le el fu fors le commandement as iuges,sì non atendieno a gittalla nel fuoco forse il comandamento del l giudice
872	et ele ploroit trop durement,Et elle plouroit moult tendrement,e la donzella lloraua muy fuertemente,et elle ploroit moult tendrement,ooma ella faceva troppo doloroso pianto
	,,,,e rigrattava Lancellotto molto pietosamente
	,,,,si diceva sovente
873	et regretoit Lancelot Ha gentilx chevaliers Lancelos,et regrettoit lancelot: en disant|Haa gentil homme lancelot,e llamaua a lançarote,et regretoit lancelot|et disoit ha : gentiex hom lancelot,: orHal|gentil cavaliere Lancellotto
874	kar pleust ore a nostre Salveor,car pleust a dieu,e deçia ay mi buen cauallero|e pluguiese agora anuestro señor,quar pleust ore a dieu,che or piacesse ora a Nostro Salvatore
	,,,,che vo' sapeste questa dolorosa novella a mio huopo
	,,,,per convento
875	que vos seuissiés ceste novele,,que supiesedes estas nuebas,que vous seussies ceste nouele,che vo' foste presso di qui a meza lega
876|877	si fuissiés pres de ci a demie lieue! Certes a l aide de Dieu|et de la vostre seroie je encore anuit rescosse malgré tos mes enemis,que uous feussiez prez de cy a demy lieue certes a laide de dieu ie seroie rescous se malgre tous mes ennemis,e estubiesedes çerca de aqui media legua|e conla ayuda de dios|e conla vuestra seria yo aCorrida|e librada,et puis vous fuissies chi a demie lieue|Certes a laide de dieu|et de la uostre fuisse iou encore anuit rescousse malgre mes anemis,! osCerto|all aiuto di Dio|e al vostro sarei io ancora stanotte riscossa a mal grado di tutti miei animici
878	Mais vos ne le savés pas a,,e mas vos no lo sabedes,,ma vo' nol saprete mica
879|880	si me covendra ore morir|por la vie,si me conuendra mourir pour la uie,e asi me conuerna a morir,si men conuendra ore a morir pour la vie,si me ne converrà ora a morire vilmente per ciò
881	que je vos sauvai emprés Dieu;,que ie uous sauuay aprez dieu,,que iou vous saluai apres dieu,ch io voi salvai la vita apresso Iddio|Hal
882|883	mais certes il ne m en poise pas tant|por moi com il fet,mais certes dit elle il ne me poise pas tant pour moy comment il fait pour le courroust,mas no me pesa tanto pormi|como porel pesar,Mais il ne me poise mie tant pour moi comme il fait pour le corous,lassa|come qui à dolorose novelle a mio huopob|¡Poscia dice|Certo
884	por le coros,,,,e non me ne pesa tanto per me come fa per lo trascruccio grande
885	que vos en avrois,que uous aurez,que vos abredes,que vous en aures,che voi arete di mia morte
886|887	quant vos le savrois|Mais ce me reconforte molt,quant uous le saurez|mais ce me conforte,Quando lo supieredes Mas esto me conorta mucho,quant vous salulres ma mort|Mais ce me conforte moult,quando vo' saprete il martidio|che l uomo m arà per voi giudicata|etMa ciò mi riconforta molto
	,,,,bel dolze sire
888|889	que je sai bien|que les damoiseles gaaigneront tant en ma mort,que ie scay bien|que les damoiselles gaigneront a ma mort,que yo se quelas donçellas ganaran mucho enla my muerte,que les puceles gaaigneront en ma mort,ch io so bene|che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo
	,,,,esSi so bene
	,,,,che lle damigelle guadagnano oggi
890	que jamés nule ne vos requerra d aide,car iamais nulles ne uous requerrent daide,que jamas donzella no vos rrequirira de ayuda,quar iamais nulle ne vous requerra dayde,tanto che giamai non voi ne richiedrà niuna d aiuto
891	que vos li faillois tant com il vos remenbre de moi,que uous ne les aidez tant quil uous souuiengne de moy,que le vos non fagades tanto|que vos acuerde demi,que vous ne li aidies tant comme il vous sousuiegne de moi,che vo' le falliate tanto come vo soverrà di me
892|893	kar vostre cuers est|si frans qu il ne puet estre sans trop grant merites rendre a totes celes,car uren cueur est ainsi franc,ca vos sodes tan noble|e tan franco|que siempre dareis buen galardon a todos aquellos,Car vostre cuers est|si grans quil ne puet estre sans grant merite rendre a toutes celes,ché vostro cuore est sì franco|che non può essere sanza troppo grande merito rendere a tutte quelle
894	qui de par moi se reclaiment:,,que demi se lamentaren,qui de par moi vous reclameront,che da parte di me|si richiameranno
895|896	si m est avis qu il m est molt miels a m ame de morir|por loialté fere,Si mest auiz quil mest mieulx a lame pour loiaulle faire,e mucho me sera buena al alma esta muerte|que Resçibire,Si mest auis|que il mest moult miex a lame pour la loiaute faire,Si m è aviso che|per lo profitto
	,,,,che nascerà di mia morte
	,,,,ch egli è il meglio a mia anima di morire per lealtà fare
897|898	et por geter de prison|si vaillant home comme vos,et pour ietter de peril ung|si uaillant homme comment uous,porque saque de prision atan noble ome Como vos,& pour geter de prison|si uaillant homme comme vous estes,e per gittare di pregione uno|si valente huomo come vo' siete
899	que vos fuissiés mors par la desloialté de Meleagan,que se uous feussies mort par la desloyaulte melleagant,que vos fuerades muerto porla deslealtad de meliangas,que vous fuissies mors pour la desloiaute melyagant,che vo' foste morto per la dislealtà di Meleagant
900	qui en prison vos avoit mis par traïson,qui en prison uous auoit mis,que en prision vos tenia|por su gran traiçion,qui en prison vous auoit mis,che n pregione voi avea messo per sua grande tradigione
901	Ensi disoit la damoisele molt tendrement plorant,AInsi disoit la damoiselle menlt tendrement plourant,e esto deçia la donçella llorando muy dolorosamente,,Insi dimentava la damigella molto teneramente piagnendo
902	et lors vint Lancelos poignant cele part ou il la vit:,lors uient lancelot poignant celle part,e lançarote vino|luego aquella parte,Et lancelot vint durement poignant la ou il le vit ester,esAllor viene Lancellotto pugnendo in quelle parti ove la vide
903	si dist a cels,si dist a ceulx,do la donçella tenian,Si dist a chiaus,si disse a quelli
904	qui le tenoient Laissiés la damoisele! —,qui tenoient la damoiselle|lessies la damoiselle,e dixo aquellos|que la tenian dexadla donçella,qui le tenoient|Laissies ester la damoisele laissies,che lla tenieno|Lasciate la damigella
905|906	Por quoi sire fet J|chevaliers armés,pour quoy fait ung cheualier arme,Porque señor dixo vn cauallero,pourcoi fait vns cheualiers armes,! oE perché|sire|?|disse uno cavaliere
907	qui avant saut le lairons nos,qui deuant estoit|la lesrons ilz,que delante salio la dexaran ellos,qui auant saut le lairoit on,che si mise immantanente avanti
908|909	? —|Por ce fet il,pour ce fait il,Porque dixo lançarote,pour chou fait il,Perché la lascerebbono elli||disse Lancellotto
910|911|912	que vos n avés droit en li|por fere mal|—,que uous naues nul droit a la faire mourir,Porque no auedes derecho|Porque la matar,que vous naues droit de li faire morir,che vo' non avete diritto in lei far morire|—
913|914	Si avons fet cil|si grant,si auons fait celuy asses grant,si auemos dixo el muy grande,Si auons fait cil|si grant,Si abbiamo|sire|disse quelli|si grande come coloro
915|916	que nos l avons atainte de murdre|dont je l apelai,car nous lauens actainte de meurdre|donc ie lappeloie,ca ella fue acusada de muerte,que nous lauons atainte de murdre|dont iou lapelai,che ll ànno agiunta di tradigione dond io l apellai
917|918|919	et ele s en offri a deffendre|mais ele ne trova onques|qui por li en prist escu,et elle sen offrit a deffendre mes elle ne trouua enques cheualier|qui pour elle portast escu,e ella se ofreçio a defender porvn cauallero|mas nunca fallo cauallero|que porella quisiese tomar escudo,et elle sen offri a desfendre|mais elle ne trouua onques|qui zs escu en portast|por li,ed ella se n oferea difendere|ma ella non trovò unque chi per lei prendesse scudo
920	et ce n est pas merveille,et ce nest pas de merueille,e no es marauilla,Et chou nest mie de meruelle,e ciò non è mica maraviglia
921|922|923|924|925|926	que chescuns set bien quele en a desloialment ovré|— De quoi|? fet Lancelos|— De ce fet il qu ele delivra Lancelot|por Meleagan ocirre son frere|,car chascun scait bien quelle a desloyaument ouure de quoy fait lancelot|de oster lancelot de prison pour occire melleagant son frere Adenc dit lancelot se uous uoullies dire quelle aist fait traison ou meurdre ie suys prest de prouuer a lencontre|Et pourtant aduises se deffendre le uoulles,ca cadavno sabe su deslealtad|e que es Esta deslealtad dixo lançarote|Que es dixo el Cauallero|que solto De Prision a lançarote Para matar a meliangas su hermano,quar cascuns set bien|que elle a desloiaument oure|De coi fait lancelot|De chou fait cil|que elle deliura lancelot de prison|por ocirre melyagant son frere|Se vous fait lancelot voles moustrer|que elle ait fait traison,ché ciascuno sa bene|ch ella à malvagiamente operato|— Di che|?|disse Lancellotto|— Se vo'|disse Lancellotto|osate mostrare|ch ella abbia fatto tradigione o murtre|io son presto di difendella
	,,,,— Di ciò
	,,,,disse quelli
	,,,,ch ella diliverò
	,,,,si come noi sapiamo bene
	,,,,Lancellotto di Lac di pregione per uccidere Meleagant suo fratello
927|928|929|930	—|Qui estes vos|? fet cil|— Uns chevaliers sui fet Lancelos,Qui estes uous fa⟦i⟧t celuy|cheualier suys fait lancelot,si vos dixo lançarote osaredes mostrar|que hizo deslealtad o traiçion enlo soltar yo so presto dela defender Quien sodes vos dixo el cauallero vn cauallero dixo Lançarote so,& murdre|de che seroie iou tous pres de la desfendre|Qui estes vous fait cil|Iou sui vns cheualiers fait lancelot,— Chi siete voi|sire|?|disse quelli|— Uno cavaliere sono io|disse Lancellotto
931|932	qui vieng ceste part|por ceste damoisele deffendre,qui uiens uers ceste part pour deffendre la damoiselle,que vengo aqui poresta donçella defender,qui chi sui venus|por rescorre ceste damoisele,che vegno in queste parti per questa damigella difendere
	,,,,—Per fé
	,,,,disse quelli
	,,,Desfendre fait cil,
933	— Par foi fet cil se je voloie il ne m en covendroit ja combatre,Par ma foy se ie uoulloie il ne men conuendroit ia deffendre,Por buena fee dixo el cauallero|si yo quisiere no me conbatiria,par foy se iou voloie|il ne men conuendroit pas desfendre,s i' volessi|e' non mi converebbe già combattere
934	kar des ier en est ! ele atainte,car des hyer elle estoit attaincte,mas sobre esta rrazon,Car des hier estoit elle atainte,ché nfino ieri ne fu ella agiunta|poscia
	,,que ayer se cumplio el plazo enque ella se auia de defender,,
	,,mas yo se,,
