a	b	c	d	e
1536|1537	Et il recort sus as autres|qui lor pooir faisoient de lui blecier e :	& puis en fiert|j	que sela fendio en dos partes	Certo	et il recourt sus a laiultre
1538|1539|1540|1541|1542	si en fiert|si l un qu il li trenche le bras par entre l espaule|et le coute|Et li autre tornent en fuie|quant il voient lor compaignons	autre|si quil li cope le bras|Et li autre tornent en fuies|mais mesires Gauuain nen daigna onques	ca estaua desarmado|e Cayo luego muerto entonçes se dexo correr a los otros|e firio avno|asi quele corto el braço y las costillas	tu non ti puoi di qua entro dipartire sanza onta avere|Allora|si ritorna nella camera	et le r̃mier quil encõtra apres il lui cor ppa le bras|et le coste pur entre lespaulse les aultrre tour nent en frite qr ãt ily uirent leurs cõpoignõs
1543	si atornez	j|encachier	por atras dela espalda|e los otros enque esto bieron començaron a fuir	donde venne	si actournes
					Et mõsieur gau
1544|1545|1546|1547|1548|1549|1550	Et mesire Gauvain nes deigne plus enchaucier ains monte en son cheval|et se remet en son chemin|et erre jusqu'aprés vespres tant qu il vient en une grant valee|et esgarde desos Iui el fons del val;|si voit I|petit chastel molt bien seant|kar il estoit clos d eve tot entor	Ains monta sor son cheual|et se remist en son chemin|Si a tant ale quil vint en vne grant ualee|Et il regarde deuant lui|si uit vn castel moult bien seant|clos daigue tout environ	mas don galuan no quiso yr enpos dellos ante subio ensu cauallo|e metiose ensu camino|e andado tanto|que llego a vn balle grande y cato ante|si y vio vn castillo muy bien asentado|ca era çercado enderredor de muy buen muro|e fuerte	e monsignor Galvano riguarda a uno de capi della sala|si vi vide uno de più ricchi letti del mondo|; ed e' va immantanente in quelle parti|ché vi	ne les daigne plus enchassier aine mote sur son cher af ase cemist en son chemin|⁊ erra iusques a uespres tant quil uint en une grande uallee:|⁊ il uist au fons du ual ung chasteau moult hien seãt rsi estoit fort deraue
1551|1552	et de buens murs bateilliés|Il torne son cheval cele part	Et il torne maintenant cele part	e don galuan corrio su cauallo contrael castillo	si badava riposare|E n ciò	⁊ dedõs murs auirõne|Il tourne celle part
1553	kar il i voldra la nuit gesir a		ca queria aquella noche aluergar enel	che ssi voleva asedere	si est uenu iusq̃s a leaue
1554|1555	et est venus jusqu a l eve;|si trueve un pont de fust par ont l en passoit el chastel	si est venus iusques a laigue	e desque llego avna agua pasola a cauallo porvna puente	si udi una damigella	⁊ p trouu a ung põt de fust par ou len passoit au chasteau
1556|1557|1558|1559|1560|1561|1562	Quant il fu venus en la maistre rue|si chevalche vers la forteresce de laiens;|et quant il en aproche|si le prise trop|kar c est la plus riche|et la plus fors|que jamés il voie de son grant a	et entre en la maistre rue|Si cheualllehe tant quil vint uers vne forteresce	e desque llego al castillo entro enel|e fue porvna gran Rua tanto|que llego al alcaçar y desque y llego el la preçio mucho|ca era la|mas Rica|que el nunca viera|e la|mas fuerte desu grandez|e don galuan paro mientes asu diestra	che llo sgrida||cavaliere	Bant il fut entre en la maistresse for¬ ◊ seresse il la prisa moult|car cest la plus belle|⁊ la plus foite quil uist oncq̃s de sõ grãt Il regar de a destre
1563|1564|1565|1566	Il regarde sor destre|et ot crier une feme assés pres de lui ce li samble;|et il point maintenant cele part ou il ot cele|qui crie	Si regarde desor destre|si oy vne vois de femme asses pres de lui ce li sambloit|ors point maintenant cele part|ou il ot oy la uois	e oyo dar vozes avna donzella|que le pareçio ay çerca y fue contra aquella parte ado dauan las vozes|e vio vn gran palaçio	tu morrai già|se tu vi ti corichi disarmato	⁊ ouist crier une femme as sez pres de lui se lui semble|Il alla celle part
1567	et voit en une grant sale par terre une damoisele en une cuve de marbre	Si uit vne damoisele Len vne cuue de marbre	e ante el vna donzella|que estaua metida en vna tina de marmol		⁊ trouua une damoiselle en une cuue de mar¬ bre
1568	qui crioit	qui crioit a hautes vois	que daua vozes		qui crioit
1569|1570	si durement Sainte Marie|qui me getera de ci	sainte marie aiue|qui me getera de chi	e deçia sancta maria quien me sacara de aqui		Gaincte marie qͥ me iectera decy Messire gauu aĩ approuch a
1571	? Mesire Gauvain acort cele part	Et mesires Gauuain point cele part	e don galuan se llego ala tina		
1572|1573	et voit la cuve|qui est bien la moitié plaine d'eve	et uit la cuue|qui estoit demi plaine daigue	e vido|que estaba bien fasta la meitad llena de agua	ché ciò è el Letto Aventuroso	⁊ uit lacuur plai ne deeaue
1574	si qu a la damoisele i avient jusqu amont le nombril	si que la damoisele y auenoit iusques au nombril	e la donçella estaua en aquella agua fasta el ombligo		⁊ la damoiselle y estoit iusques au nombril
1575|1576|1577|1578	Et quant ele le voit|si li dist Ha sire chevaliers|por Dieu getés me de ci Lors gete les mains|et r aert par mi les flans	Et quant elle uit monseignour Gauuain|Si li dist|Sire cheualiers pour dieu getes moi de chi Lors giete mesires Gauuain lez mains|et lahert parmi les bras	e desque vido a don galuan dixole ay pordios sacadme de aqui|e luego la tomo don galuan porlos braços|e començo a tirar porla sacar	; ma vede là una armadura|si lla prendi	Quant elle le uist|si lui dit|Sire cheualier pour dieu iectez mop de cy|Lors lui iecte mõseigneur gauuainses bras parmiles flans
1579|1580	mais il ne la puet remuer|por pooir qu il ait;	mais il ne la puet remuer pour pooir quil ait	mas no la pudo Remouer|por poder|que ouiese	poscia	mais il ne la prut remuetr
1581|1582	si s i essaie Il|fois ou trois	Si si assaie|ij|fois ou|iij	e prouola vien dos vezes o tres	si vi ti asiedi se tu vuoglis	Il y essaya deux ou trois sois
1583|1584|1585|1586|1587	et quant cele voit qu il ne la remuera|si li dist Ha sire chevaliers failli avés|Ore poés dire seurement|que ja de cest chastel ne partirois sans honte avoir|— Damoisele fet il se je ne vos ai delivree ce poise moi	Et quant cele uit quil ne la remouera|Si li dist|ha : sire cheualiers failli aues a ceste auenture Or poes dire|que ia nen partires de chi sans za honte auoir Damoisele fait mesires Gauuain se iou ne vous ai deliuree ce poise moi	e quando la donzella vio quela no podia sacar dixo ay señor Cauallero fallido auedes agora podedes dezir seguramente|que deste castillo non vos partiredes sin desonrra donzella dixo don galuan|si vos non libro esto pesa ami|e yo	Monsignor Galvano va colà ove vide l armi|sille prende	mais il ne la peut remuer|Q u ant elle uit qͥl ne la pourroit remuer elle lui dit|Haa sire cheualier failli arez or pouez bien dire q̃ dece chasteau ne partirez ia sãs hõ te auoir|Damoiselle dit il se ie ne uous ay de fiuree ce poise mop
1588|1589	et je en ai fet|si mon pooir	Et sachies	e hay fecho todo my poder	e se ne aparecchia al meglio	Ie en ay fait tout mon pou oir
1590	que je n en doi estre blasmés	que ie en ai fait tout mon pooir	e poreso non deuo ser vlasmado		si nen dois pas estre blasme
			mas Ruegovos		
1591|1592	Mes or vos voldroie je proier par amor|que vos me deissiés comment vos estes ci	mais or vous proi par amors|que vous me dites porcoi vous estes chi	que me digais|por amor|porque estades aqui|asi e	ch egli sa	mais or uoꝰ uueil ie prier par amoure q̃ uoꝰ me diez pour quoy uous estes icp
1593|1594|1595|1596	et par quele aventure|et se vos en porrois estre delivree||que g i ai totes les dolors	et se par nul homme vous en porries estre ostee Par foy fait elle iou sui en tel maniere|que iou y soeffre toutes les dolours	por qual auentura|e si podedes|por algund ome ser libre|Por buena fee dixo ella yo esto aqui ental manera|que he todos los dolores	e quand egli è armato|si se ne va a sedere nel letto|Ma si tosto come vi	⁊ se par nul hõe en pour¬ riez estre diliuree|Par ma fop fist elle ie suis en telle maniere|que iap toutes les doulleurs
1597|1598|1599	et sueffre totes les anguoisses ne n en serai hors devant|que li mieldres chevaliers del monde m en getera|Mais l achoisons	que femme nulle puist soffrir|Ne ia nen serai getee deuant chou|que li mieldres cheualiers del monde men getera|Mais loccoison porcoi iou y sui	e todas las cuitas|que persona podria sufrir|e non salire deaqui fastaque el mejor cauallero del mundo me saque|e mas la ocasion	si fu aseduto|si udi uno grido	⁊ seuffre toutee les peir ec du mõde|⁊ si nen se rap iectee deuãt q̃ le meilleur cheualier du nr õ demen iectera
1600|1601|1602	por quoi g i sui mise ne savrois vos ja ne vos ne autres par moi devant|que cil sera venus|qui de ci me getera:	ne sasulres vous ia par moi ne vous ne autres deuant chou|que cil|qui men getera sera uenus	por que yo esto aqui metida non sabredes bos ni otro|por mi fastaque venga|el que deaqui me sacara o sea venida sera muy ayna	el più oribile|ch elli unque udisse	Et la cause ponr quoy ie y suis ne saurez uous pas derãt q̃ celui sera uenu qͥ de cy me doibtiecter
1603|1604|1605|1606	et sa venue est assés pres k ar ce sera en cest an|—|Et comment fet il est ce|que vos soffrés tantes dolors	et sa uenue est asses pres|quar che sera en chest an Comment fait il est chou|que vous soffres tant de dolors	ca el sera aqui muy ayna eneste año|como dixo don galuan sofrides tanto dolor Como dixo la donzella prouad esta agua	e ben credé|che ciò fosse boce di diavolo||donde l ferro era tutto infiamato	⁊ sa uenue est assez piez|car se sera en cest an|Et comment fist il est ce|que uous souffrez tant de doulleur
1607|1608|1609|1610|1611|1612	? — Comment|? fet ele|Tastés quels ceste eve est|et lors le savrois|reve|mais il ne la cuide l ja avoir retraite a tens	Che safulres vous fait elle se vous tastes ceste aigue quele elle est|Lors mist mesires Gauuain ses mains en laigue|mais il ne le quida ia a tamps rauoir ostee	e sauello edes|e luego metio vna de sus manos enel agua|mas nunca la cuido ende sacar	e viene bruiando tutto diritto a monsignor Galvano|e l fiede|si duramente|che per lo scudo né per lo asbergo non rimane	Cdmẽt fait elle|Tascez q̃lle est ceste raue Tors mist monseigneur gauuain sa main dedens|mais il ne la cuida ia auoir retraicte
1613	kar Lors mist mesire Gauvain l une des mains dedens tant le trova chaude qu il cuide bien avoir la main perdue a tos jors mes	quar il quida la main auoir perdue Sire cheualiers fait elle|or saues vous bien quele dolour iou sench	ca ella fallo tan caliente|que vien la cuido hauer perdido		car tant la trouua chande quil cuida bien auoir la main perdue a tousioursmais
		? EN ceste maniere			
1614	Sire chevaliers fet la damoisele ore savés quele anguoisse je sueffre	que vous oies senti mesires Gauuain|que la damoisele soffroit grant torment	para todos los dias desu vida señor cauallero dixo la donçella agora veredesvos|que cuita yo sufro çierto donzella dixo don galuan yo non veo		Eire cheualier fait elle or sauez uous quelle angeisse ie seuffre
		& grant dolor			
1615|1616	— Certes damoisele fet il ie ne voi pas comment vos puissiés durer|— Par foi fet ele se je puisse morir par travail je fuisse pieça morte	Si li dist|Certes damoisele T iou ne sai comment vous puissies longuement durer en tel paine|par foy sire fait elle se iou peusse morir pour trauail|iou fuisse piecha morte	como luengamente podades durar|por buena fee dixo ella|si yo pudiese morir|por trabajo ya pieça ha	che per me' la spalla no gli passi d oltre in oltre	Certes fist il damoisefle ie ne cui de pas q̃ uꝰ uiuez longuemẽt|Pour quoy fist elle|poͬirce dit monseigneur gauuain|que uous souiffrez ceopde doulleur
1617|1618	Mais a Damedieu ne plaist encore lar il ne s est pas encore vengiés d un grant pechié|que je fis ja	Mais diex ne veult mie|que iou muire encore|Car il ne sest mie bien uengies dun pechie|que iou fis iadis	que seria muerta	ed	Il ne plaistyas encores a Partic|dieu dit elle|que ie meure
					car il nest pus encõ¬ res bien uengie de ung pechie
1619	por quoi je sueffre ceste anguoisse	porcoi iou sueffre ceste dolor	mas no plaze ala madre de dios		que iay fait par quoy ie seuffre ceste angoisse
1620	et cest torment	et cest trauail	ca no se tiene	e si spasima	⁊ ceste doulleur
1621|1622	Mais or vos en poés aler sire chevaliers|quant vos plaira lkar de moi oster de ci est ce noiens	Si vous en porres aler de chi|quant il vous plaira Car il me samble	por vien vengada devn pesar quele fize dias ha|porque yo sufro esta cuita y este tormento	eAllor sente la lancia arappare|ma e'non sa chill sinsegna molto duramente|ma del letto non s è rimutato|anzi dice	Mais or uous en pouez aller dicy quãt il uoꝰ plaira
1623|1624|1625|1626	puis que vos avés failli ne de mon estre ne savrois vos pius|Et il s en vet maintenant|quant il voit|que plus n en porra trere a ;	que ce de moi oster de chi est il noiens|tant sen part mesire Gauuain	mas agora vos podedes yr deaqui|quando vos pluguiere|ca demi fazienda no sabredes	che ne morrà tutto freddo o e” vedrà più|che non à ancora veduto|ma molto|si sente inaverato duramente|Iol Gran peza dimora nel letto monsignor Galvano|;|e quand|e fu|si anotato|che l uomo vi vedesse malvagiamente	puis qu e uous y auez faisli: ne de mon estre ne saurez uous riens|Et adonc monsei gneur gauuain sen part
1627	si s en vet al mestre palés	et sen uait droit au maistre palais	mas pues hauedes aqui fallesçido	se non fosse la chiarità della luna	si sen ua au maistre pallais
1628|1629	Et vaslet saillent encontre lui plus de X|por Iui descendre;	et uallet saillent encontre lui plus de	e don galuan se fue ende luego desque vido|que mas non podia saber ende della	che là entro entrava per più di Xl|finestre|che tutte erano aperte	⁊ uarletz saillent contrelui plus de uingtz pour le descendre
1630|1631|1632|1633|1634	si li establent son cheval b|et le mainent|et palés en haut|por desarmer|Si i trueve mesire Gauvain grantt plenté des plus bials chevaliers qu il onques mes veist en nule terre;	XX|si le mainent el palais amont pour desarmer|Si troua mesires Gauuain asses de cheualiers laiens|qui se drechierent encontre lui	e fuese contravn gran palaçio|e luego salieron ael|mas de veinte escuderos quele fizieron desçender del cauallo quelos vnos le pensaron el cauallo y los otros le metieron enel palaçio porlo desarmar	allora isguarda in una camera|che presso di lui era|: Csi vide uno serpente|el più grande|ch egli avesse unque ma' veduto|che l uomo non potesse in lui vedere|Allor comincia el serpente andare a monte|e a valle per me la camera|giucando di sua coda|e battendo la terra|;	⁊ mettent le cheual enlestable|et mainent monseigneur gau uain amont pour le desarmer|Si trouua mõsei¬ gnent gauuain grant plante de cheualiers qͥ se ures serent encontre lui
				si non à huomo nel mondo	
				che del vedere non dovesse avere tutta paura	
				si non è nel secolo tante maniere di colori	
1635|1636	si se drecent e tuit encontre Iui|si tost com il le voient venir	si tost comme il le virent uenir	e luego vinieron contrael gran compaña de caualleros|ansi como lo vieron		si tostcommẽt ilz le uirent uemir
1637|1638	et li dient|que bien soit il venus	et li distrent|que bien s fust il uenus	e dixeron bien seades vos venido	e quand	⁊ lui dient q̃ bien soit il uenu
1639|1640	et il les encline tos|Et l en li fet oster ses armes	Et il encline a tous|Et on li fait oster ses armes	e don galuan se humillo a todos y entonçes lo desarmaron	e se n ebbe alquanto giucato	Et il dist|que dieu les uenie tous aps len lui fait oster ses armes
1641	et li baillent une molt riche robe a vestir	puis ll font uestir vne moult riche reube	e dieronlo vnos paños muy Ricos		⁊ lui baille len une moult ri¬ che robe a uestir
1642|1643|1644	puis l asieent devant els|et li demandent|dont il est	si le font assfeo ir dencoste aus|& li de mandent|dont il est	que vistiese	si volge quello di sotto di sopra	puis le assient deuant eulx|⁊ lui demandẽtdont il est
1645	et il dist qu ill est del roialme de Logres	Et il dist del royaume de logres			Et il dit quil est du ropaume de logres
1646|1647	et de la maison le roi Artu|Et lors li font il la greignor joie del monde	& de la maisnie le roy artu Lors li font li cheualier le plus grant ioie quil pueent	e desque el fue vestido dixeronle señor donde sodes yo so dixo don galuan del Reino de londres de casa del Rei artur entonçe les fizieron la mayor honrra del mundo preguntaronle		⁊ de la maison du roy ar¬ tus|Lois ilz sui firent la greigneur chiere qͥlz peurent
1648	et li demandent noveles de la cort:	et li demandent noueles de la maison le roy artu	por nuebas dela corte y el se las dixo aquellas		⁊ lui demanderent des nouuelles de la couct
1649|1650|1651|1652|1653|1654	et il lor dist teles com il les set||grans chevaliers a|et il estoit I|des plus bials hom|que mesire Gauvain eust pieça veu	& il lor dist teles comme il les sauoit|Atant issi hors dune cambre vns grans cheualiers|qui se faisoit aporter a|iiij sergans|& uenoient auec lui grant plente de cheualiers|& il estoit vns des plus biaus cheualiers del monde	que sabia y ellos|ansi fablando salio devna camara vn gran cauallero|que traia ante|si muy gran compaña de caualleros y el hera el|mas fermoso ome|que nunca viera don galuan	e comincia|si a storcere	Et il leur dit tesses cemme il sauoit A ces parolles issist de une chambre ung grãt cheualier|qui a menoit auec lui grant compai gniee de cheualiers|il estoit ung des beaulx hommes|qui oucques feust
1655	et molt resambloit bien gentil home	si sambloit bien gentils hom	e mucho le semejaua jentil ome		⁊ moult sembloit bien gentil homme
1656|1657|1658|1659	Et quant cil de laiens le voient venir|si dient a mon seignor Gauvain|que c est li rois|Maintenant se dresce mesire Gauvain	Et quant ci de laiens le virent uenir|si dirent a monseignour Gauuain|que chest li roys:|Et il se drece contre lui	e quando los|que con don galuan estauanle vieron dixeron vedes aqui El Rey	e a fremire	Quant ceulx de leans le uirent uenir|si dient a monseigneur gauuain Uecy le roy|maintenant se dresse mõseigñr gauuain
1660|1661	et dist|que bien soit il venus ;	et li dist Sire bien ueignies	e luego se fue ael don galuan	e a fare la più laida fine del mondo	⁊ lui dit|que bien soit il uenu
1662|1663	et cil li rent son salu a molt bele chiere|si le fet asseoir dejoste lui	Et il li rent son salu a moult bele chiere|et le fait asseoir deles lui	e dixole señor mucho seades bien benido y el Rei le torno sus saludes con muy fermosa cara y el Rei le fizo sentar çerca	SE quand e' s è gran peza insi dibatuto|si si stende altresi come se fosse morto	Et ce¬ lui lui rent son salut a moult belle chiere:|⁊ le fait asseoir empres lui
1664|1665	et demande|qui il est	si li demande|qui il est	si y pre guntole quien hera	“Di questa cosa	⁊ lui demande|qui il est
1666|1667	et il lij conte tote la verité|Et lors en est li rois molt liés lar molt desirroit a veoir mon seignor Gauvain	Et il en dist la uerite|Si en est li roys moult lies|quant il set|que chest mesires Gauuain	e don galuan le conto toda la verdad|e desto fue el Rey muy alegre|ca mucho deseaua ver a don galuan	si maraviglia molto monsignor Galvano	Et il lui compte la uerite|⁊ lors en est le roy moult ioieux|car il desiroit a ueoir mon¬ seigneur gauuain
1668|1669|1670|1671|1672|1673|1674	et a conoistre:|si parolent ensamble|et s entracointent al plus bel qu il pueent Endementiers qu il parloient issi se regarde mesire Gauvain|et voit par mi a une verriere un blanc colon|qui aportoit en sa boche|I|encenser d or trop riche	quar moult le desiroit a ueoir|si parolent ensamble Andementres quil parloient ensi regarda mesires Gauuain enuers|j|j|blanc coulon|qui portoit en son bec|j|enchenssier dor moult bel|& moult riche	e començaron a fablar envno de muchas cosas y ellos|ansi fablando paro mientes don galuan|e vio entrar porvna vidriera vn palomo blanco|que traia ensu pico vn inçensario de|oro muy rrico y	si l riguarda|e vede|che cetta di bocca serpentelli infino a cento	Si parse a lui|⁊ sentrea¬ cointerent ensemble|Tandis quilz parloiẽt ainsi regarda monscigñr gauuain|⁊ uit ung coul õp blanc entrer leans parmi une uerrieie|⁊ portoit en son becung encensier dor moult ri che
		Lhuis dune cambre			
		si uit laiens entrer			
1675|1676|1677|1678|1679|1680|1681|1682	Et si tost com il fu laiens entrés|si fu li palés raemplis de totes les bones odors|que cuers mortels porroit penser ne boche dire b|Et lors furent tuit|si amui|que onques n en i ot L|sol|qui mot deist ains s agenoillerent tuit	E|Si tost comme il fu laiens entres|fu li palais raemplis de toutes bones odours|Et lors furent cil de laiens|si amusils quil ni ot|j|seul|qui mot desist Ains sagenoillerent	ansi como entro luego fue el palaçio lleno de todos los buenos olores del mundo|e fueron todos luego|asi mudos|que no ouo tal|que palabra fablase ante fincaron todos los ynojos tan ayna	che tutti erano vivi|E quand egli à ciò fatto|si si parte della camera	Et si tost comme il fut leans entre|si fut le pallais rempli des meilleurs oudeurs du monde|Et lors tous ceulx de leans sans di¬ re mot se misdrent a genoulx|⁊ le coulomp sẽ alla tout droit en une chambre|⁊ maintenant congneurent ceulx du pallais sa uenue
1683|1684|1685|1686	si tost com il virent le colon;|et il s en ala tot droit en une chambre|Et maintenant saillirent cil del palés|et mistrent les napes sor les dois;	si tost comme il uirent le coulon|Et il sen entre en vne cambre|Et maintenant corent cil de laiens|et mistrent lez taules|& les napes sor lez dois	como vieron el palomo y el palomo se fue derecho avna camara|e luego fueron aquellos del palaçio aponer los manteles enlas mesas	e viene nel gran palagio	si cou rurent mettre les tables|⁊ se assisdrent lun cy|et lautre la sãs ce|que nul
1687|1688	si s asistrent li un|et li autre sans ce	& saisistrefnt li vn|et li autre sans chou	que ay estauan|e catauanse los vnos alos otros	si vi truova uno leopardo	qui y feust osast di¬ re ung tout seul mot
1689|1690	que nus i deist mot ne nus n i fu apelés e|De ceste aventure se merveille molt mesire Gauvain;	que nus ne dist mota A ceste auenture fu mesires Gauuain moult esmerueillies	e non se dezian palabra Como don galuan vio la donzella|que traia el sancto baso Desta auentura se marauillo mucho don galuan		S|i|A E ceste aduanture se merueilla monst mõsieur gau
1691	si s asiet avec les autres a	si sassist auec les autres	e cataua alos otros		il se assit auec les autres
1692|1693	et voit qu il sont tuit en proieres|et en oroisons	et sen rit de chou quil les vit en proieres	que estauan ende|e en oraçiones		et il uoit q̃ ilz sont en prieres|et en oraisons
1694	Et aprés ce qu il furent tuit assis a ne demora gaires	et en orisons Apres chou ne demora gaires	e despues desto non tardo mucho		et apres ce ne demoura gaires|que mõsieut gau
1695|1696|1697	que mesire Gauvain vit issir de la chambre ou li colons estoit entrés une damoisele la plus bele qu il onques mes eust veue jor de sa vie|et sans faille c estoit la Plus bele|qui lors fust ne	que mesires Gauuain uit issir de la cambre ou li coulons estoit entres|vne damoisele la plus bele quil eust onques	que vido don galuan salir dela camara|do el palomo hauia entrado vna donzella la|mas hermosa|que nunca endias desu vida hauia visto|e hauia la	el più visto del mondo	uoit issir de la chãdre ou le coulomp auoit este la psus belle damoyselte qͥl uist õcques mes iour de sa uie
			mas fermosa caueza		
			e traia los cauellos sueltos		
			mas atados vn poco ençima convna çinta Rica		
1698|1699|1700|1701|1702	qui puis nasquist|La damoisele fu desliee|et estoit treciee en bende|et avoit le plus bel chief|que feme portast	mais ueu en iour de sa vie|La damoisele estoit deslije|& estoit trechie a vne bende|Et auoit le plus bel chief|que onques femme portast	que muger pudiese hauer y era	: ed e' gli corre tantosto suso	La damoyselle estoit mõlt biẽ trechee|et si auoit le plus beau chief du mõde
1703|1704|1705	si estoit|si bele de totes bialtés|qui a feme aperent	Si estoit|si bele de toutes beautes	ansi fermosa de todas las fermosuras	e quelli a llui	Si estoit belle de toutes les hequltes|qui a fẽ me appartiennẽt
1706|1707	que onques plus bele feme ne fu veue fors solement la Virge Mere|qui porta Jhesu Crist dedens son ventre e		que muger pudiese hauer		et elle portoit entre ses maĩs le plus beau uaissel q̃ õcques hõme uist
1708|1709	Ele issi de la chambre|et porta entre ses	que el monde nauoit sa: pareille Elle issi de la cambre	e la donzella traia ensus manos el	Si cominciano intr amenduni la più fiera battaglia del mondo	
1710|1711	II|mains le plus riche vaissel	et portoit entre ses mains le plus riche uaissel	mas rrico vaso|que nunca	ché l serpente crede tuttavia venire al di suso del leopardo|ma e' non può	
1712|1713|1714	qui onques par home terrien fust veus|et fu fes en samblance de calice|et le tint plus haut de son chief	que onques par homme terrien fust ueus|Et fu fais en samblance de calice|Et la damoisele le tint plus haut|que son chief	por ome terrenal fuese visto y hera fecho en semejança de arles|e ella lo traia|mas alto|que su cabeza	E n ciò|che ssi combattieno insi|avenne a monsignor Galvano tale aventura	⁊ fut fait en semblãce de gallice|sy le portoit plus hault|que son chief
1715	si que totes voies l enclinoit a	si que tot cil de laiens le virent	asi que todos los quelo vieron sele inclinaron	che non vide nulla	mbsieur gau
1716|1717	|si le prise plus	& enclinerent	e don galuan cato el vaso|e preçiolo mucho	e si lucea la luna molto chiara	regarde le uaissel|si le prise mõlt
1718|1719	que rien qu il eust veue a|mais il ne puet savoir de quoi il est	Et mesires Gauuain regarde le uaissel|et moult le pnsa en son cuer|mais il ne set de quoi il est	mas no pudo sauer de|que hera	Ma in capo di peza gli fu renduta la chiarità degli occhi	mes il ne peult sauoir de quoy il fut
1720	kar de fust n est il pas ne de nule maniere de metal ne de pierre ne rest il mie ne de cor ne d os	Car de fust nestoit il mie ne de nulle maniere de metail|ne de pierre ne de cor ne dos	ca no le paresçia|que fuese de algun madero ni de alguna manera de metal ni de piedra ni de cuerno ni de hueso	sicché poté vedere el leopardo	car de boys nest il pas ne de nul le manicre de metail|ne de corne ne de os
		& de chou est il moult corouchies			
		quant il ne set de quoi il est Apres regarda la pucele			
1721	et de ceu est il tos esbahis	qui tant estoit bele	e desto fue muy triste|porque no pudo sauer de	e l serpente|che s ancor	⁊ de ce est il tout esbahi
			que hera		
1722	Aprés regarde la pucele	et gente|et plaisans	e despues cato ala donzella	si combattieno|	Pres regarde la pucefle
				che monsignor Galvano non lsapleva el quale se n avesse el peggiore	
1723	si se merveille plus assés de sa bialté	si sesmerueille moult de la grant biaute|dont elle est	e marauillose|mas desu fermosura	né qual meglio n avesse|	si se merueille plus de sa ueaulte q̃ du uaissef
		si plaine			
1724	que del vaissel lear onques mes ne vit il feme	quil ne set riens del uaissel|Car onques	ca no del vaso|ca nunca el viera donzella	che non poteva venire al di suso del leopardo|si se ne va nella camera dond egli era uscito	car onc ques mes ne uist il damoyselle
		mais ne uit damoisele			
1725|1726	qui de bialté s apareillast a ceste :|si muse a li	qui a cestui sappareillast|Si y muse mesires Gauuain moult longuement a li regarder	que de fermosura se igualase aesta|e ansi la Cataua fuertemente	e si tosto come e' n è entrato gli corsono suso|e serpentelli|e elli a'lloro	qui de heaulte se cõparagast a ceste
1727|1728|1729|1730|1731	si durement qu a autre rien ne pense|Et ensi com la damoisele passe par devant le dois e|si s agenoille chescuns devant le saint vaissel|et tantost sont les tables replenies de tos les bials mengiers|que l en porroit deviser;	si qua autre cose ne pense|Ensi com la damoisele passa par deuant les cheualiers le saint uaissel en sa main|si sagenoillerent cascuns deuant li|Et si tost comme il fu portes par deuant lez tables|si furent maintenant de toutes lez bones viandes	que en otra cosa no pensaua Como la donzella pasaua conel sancto vaso antelas mesas|e como las mesas fueron llenas de muy buenos manjares Ansy Como la donzella Pasaua|por antelos	e que'|si difendono duramesnte|si aiuta l uno a l altro a suo podere|i dura la battaglia di loro gran peza della notte|tanto che nella fine uccise el gran serpente i serpentelli	Ainsi cõmẽt la damoy¬ selle passa deuãt eulx|chascun se agenoulle deuãt le sainct uaissel|et tãtost surent les ta¬ bles replanies de tous les beaux mẽgiers du monde
1732	et li palés fu raemplis de	que on puist deuiser	que enel palaçio estauan	e i serpentelli uccisono lui	et le pallaiz fut rẽpli de toutes les bõ nes oudeurs du mõde
1733	si bones odors com se totes les espieces terrienes i fuissent Ie dois	& de toutes lez boines odeurs raempli del monde|Et quant la damoisele fu vne fois passee par deuant les tables	ansi fincaua luego cada vno los inojos|e luego fueron las mesas llenas de todos los buenos manjares	Allora incominciarono tutte le finestre della sala a percuotere l una incontro a l altra|si fanno	Q uãt la damoyselle fut une foys allee deuãt le dois
1734|1735|1736|1737	si s en retorne|et entre en la chambre|dont ele|Quant la damoisele fu une fois alee par devant vint	si rentra en la cambre|dont elle estoit uenue	que ome supiese deuisar|e el palaçio lleno de todos los buenos olores del mundo|e quando la donzella paso vna vez ante todos tornose ala camara donde hauia salido	si gran dibatito|e si gran romore|che sembia|che tutto el palagio debba fondere	si senrctour ne en la chabre|donc elle estoit uenue
1738	Et mesire Gauvain le convoie des iex tant com il puet;	Et mesire Gauuain le conuoie de sez iex le plus quil puet	e don galuan lo cato todauia tanto	Allora entrò là entro uno vento	et mon¬ sieur gau|la cõuoie de ses yeux tãt quil peult
1739	et quant il ne la voit mes	Et quant il ne le uoit	quanto lo pudo ver|e quando la	si grande|e si forte	Et quãt il ne la uist mes
1740	si regarde devant lui a la table ou il seoit a mes il ne voit chose qu il puisse mengier ains est la table vuide devant lui	si regarde la table deuant lui|et il ni voit riens	mas no vido paro mientes ala mesa delante	che ne portava avanti lui tutta la giuncura della camera	si regarde dessus la table deuãt lup mes il ne y uoit chose qͥl|puis se mẽger
					ains sut la table uuidee deuãt luy
1741	et il n i a nus	Et ni auoit celui	si mas non vido cosa	e del palagio	et ny auoit celluy
