,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
476,,,iiij,,,,,
477,722|723,qui plus li faisoit mal|et cil estoit molt grans,qui plus li fait mal a son essient|Et il estoit moult grans,aquel que mas mal le façia|que hera muy grande,che più gli faceva male a suo aviso|e quegli era molto grande,qui plus lui faisoit mal a son auiz,qui luy faisoit plus de mal a son adius|et il estoit moult grant,que miex le faissoit a son essianc|et cil estoit moult grans cheualiers
478,724,et molt fors;,& moult fors,e muy fuerte,e molto forte|;,,et moult fort,et moult fors
479,725|726|727|728,et Lancelos|qui le vient ataignant li done par mi le hialme|si grant cop qu il en fet le feu saillir|et l espee glace,et lancelos|qui le vient ataignant li donne sor le heaume tel cop quil en fait le fu saillir|& lespee glache,e diole|asi vn golpe tan grande ençima del yelmo|que el fuego fiço salir del|e el golpe desçendio al honbro|e Como fue dado de gran fuerça,e Lancellotto|che viene agiugnendo|si l fiede|si gran colpo,si lui donne sur son heaume tel coup qu il en fait le feu saillir|et lespee glace,et lancelot lactaint par le heaume|si grant coup quil en fait saillir le fer|et lespee glace,et lancelotqui le uient atangnant li done parmi le hiaume|si gnt cop|que il en fait le fen saillir|et lespee glace
480,729|730|731|732|733,qui de droit ne fu pas ferue|si descent desus la senestre espaule|Li cops fu grans|et par ire ferus|et bien i parut,qui ne fu mie de droit ferue|si descent sor la droite espaulle au cheualier|si que li bras kai a tout lespee sor le pauement|Et cil trebuche a terre,asi que porla loriga no finco quele no derribase el braço conla espada en tierra|e el cauallero conel gran dolor cayo|luego en tierra amorteçido,che n diritto non fu passo fedito|si gli discende sopra la sinistra spalla|e per ira fedito|e bene aparve,si descent sur la destre espaulle du cheualier:|si que le bras lui cheut atout lespee sur le pauement|Celui trebucha a terre,qui de droit ne fu pas ferue|si luy descend dessoubz la senestre espaule le coup fu grant|et feru par yre|et bien y parut,qui droit ne fu pas ferue|Si li descent desous la senestre espaule|et li cox fu grans|et par ire feruset bien i parut
481,734,que l espee cola par mi l espaule a al chevalier,qui se pasme de langoisse quil sent,,che lla spada colò per me' la spalla del cavaliere sicché la spalla con tutto il braccio cadde di sopra lo smalto ed e' trabocca a terra|si spasima,,car lespee coula parmy lespaule au cheualier,que lespee cola parmi lespaule au cheualier
482,735|736,si que li bras a tote l espaule chiet desus le pavement|Et lors sont molt esmaié li autre troi,Et lors sont moult esmaie li autre troi,e los otros desque aquel golpe vieron fueron muy desmayados,faceva facevano della angoscia|che sente|Allora sono molto ismagati tutti gli altri tre,et se pasma de langoisse quil sentist|Lors sont moult esmaiez les autres,si qui le braz a toute lespaule chey dessus le pauement|et il trebuche a terre|et se pasme de langoisse qu il sent|et lor sont moult esmayez les autres troys,Si que li bras atout lespee chai seur le pauement|et cil trebuche a terre|et se pasme: de langoisse|que il sent|Et lors sont moult esmaiet li autre trois
483,737|738,si font molt malvés samblant d els deffendre|por le grant cop qu il ont veu,et font moult maluais samblant daus desfendre pour le grant cop quil ont veu,e fiçieron mal senblante dese defender porlos grandes golpes|que façia,si si fanno malvagio sembianti di difendere per lo gran colpo|ch egli ànno veduto,,si font moult mauuaiz semblant de deffedre pour le grant coup quilz ont eu,Si font moult mauuais sanblant daus desfandre|por le grant cop quil ont ueu
484,739|740,et por l espee|que chescuns d els a ja sentie jusqu al sanc,et pour lespee|que cascuns de euls a sentue iusques au sanc,e porla espada|que auia sentido cadavno enlas carnes,e per la spada|ch egli ànno sentita insin qua alle carni,iii,et pour lespee|que chascun a sentie icquau sanc,et por lespee|que chascuns daus a sentie iussqua sanc
485,741,Et Lancelos lor cort sus,Et lancelot,e lançarote no cato,E Lancellotto,et lancelot leur court sus,Et lancelot|qui oncquez ne recroit leur court sus,et lanceloz|qui ne recroit pas lor cor sus
486,742|743|744,et en fiert I|el hialme|si qu il le fet flatir a terre d ambesdeus les paumes,qui pas ne se recroit en fiert vn amont sor le heaume|quil le fait flatir a terre dambes|ij,mas aquel|que derribo ante dio al otro vn tal golpe|por çima del yelmo quele fiço dar con anbas manos en tierra,ch unque non|si rimuove lor corre suso|e ne fiede l uno a monte ne l elmo sì gran colpo|ch elli il fa frattire a terra d amendune le palme,et en fiert tellement ung ament le heaume qu il le fait flatir a terres,et en fiert lun amont ou heaume|si quil le fait flatir a terre des deux paumes,et en fiert|i|amont el hiaume|si quil le fait flatir a teree|danbedeus les paumes
487,,,lez paumes,,,,,
488,745,Et quant li autre dui voient ce,Et quant li autre doi voient chou,e desque los otros esto vieron començaron a foir,ME quando gli altri due vidono ciò,Et quant les autres deux uoient ce,Et quant les autres deux uoyent ce,et quant li autre dui uoient ce:
489,746,si tornent en fuies vers l uis a garison;,si tornent en fuies,por guaresçer,si tornarono inverso per fuggire a guarigione,si tournent uers luys a garant,si tournent uers luys pour fouir a garison,si corret᷑ uers luis|et uiennent a garison
490,747|748,et Lancelos vint ataignant le deerrain|si le fiert par entre l escu,Et lancelot ataint le daarrain|si le fiert par entre se lescu,e lançarote alcanço|aquel que yua de tras,e Lancellotto viene agiugnendo il di dietro|si l fiede intra lo scudo,Et lancelot uient attaignant le derrain par entre lescu,Et lancelot actaint le derrain|si le fiert entre lescu,et lancelot uient atangnant|et en fiert a grant uue par entre lescu
491,749|750|751|752,et le bras|si qu il li trenche le poing|et li escus chiet a terre|et cil torne en fuies,et le col|Si quil li trenche le bras|et li escus chiet a terre|Et cil torne en fuies,e firiolo|asi duramente entre el onbro y el escudo,e l braccio sicché gli trinca il pugno|e lo scudo cade a terra|e que' torna in fuga,et le col|si lui trenche le bras:|et lescu chiet a terre,et le braz|si quil luy trenche le poing|et lescu chiet a terre a cil tourne en fuye,et le bras|si quil li tranche le poing|et li escus chiet a terre|et sil torne en fuie
492,753,qui maheignié se sent,qui mahaignies se sent,que tenia enbraçado,che magagnato|si sente,,qui se sent mehaigue,qui afolez ce sent
493,,,,que el braço conel escudo le fiço bolar en tierra,,,,
494,754,Et Lancelos vient a l autre,Et lancelot reuient a lautre,e el cauallero fuese fuyendo,E Lancellotto ritorna a l altro,Lancelot court a lautre,Et lancelot reuient a lautre,et lancelot uient a lautre
495,755,qui ja se relevoit sel fiert de l espee,qui ia se releuoit|si li donne,ansi llagado|como estaua,che si rilevava|si l fiede della spada,qui ia se releuoit|et le fiert,qui se releuoit|si le fiert de lespee,que ia se releuois|si le fiert de lespee
496,756,si grant cop qu il li fet le hialme voler en la place,si grant cop|que il li fait voler le heaume de la teste en le place,e lançarote fuese enpos el otro|que auia fincado,si gran colpo|che gli fa l elmo volare nella piaza,si grant coup qu il lui fait uoler le heaume de la teste en la place,si grant coup quil luy|fait uoler le heaume en la place,si grant cop|que le hiaume li fait uoler en pieces
497,,,,,;,,,
498,,,,e firiolo,,,,
499,,,,asi enlo alcançado ençima del yelmo,,,,
500,757|758,Et quant cil sent son chief nu|si cria merci,Et quant il sent son chief descouuert|si li crie merci,que selo fiço volar dela cabeza|e el cauallero desque vido su cabeça desarmada Con pauor de muerte|que ovo pidio le merçed,e quando que' sente suo capo ignudo sì grida mercé,Quant celui sent sa teste nue il crie mercy,Et quant il sent son chief nu|si me mercy,et quant cis sent son chief nu:|Si crie merci
501,759|760|761,et dist qu il ne l ocie pas|kar il est pres de sa volenté fere|Or te covient donc fet Lancelos fiancer,et dist quil ne lochie mie|quar il est presstl de sa volente faire|Lors te couuient|dont fai lancelot afiancer fait il,e dixole ay buen cauallero no me matedes|que yo fare toda vuestra voluntad tu me juraras dixo lançarote,e dice|che non l uccida passo|ch egli è presto di sua volontà fare|vOr ti conviene dunque giurare disse Lancellotto,et dit qu il est prest de faire sa uoulente|Il te conuient denc promettre dit lancelot,et dit quil ne loccie pas|car il est prest de faire sa uolente|Or te conuent|donc fiancer,et dit quil ne locie pas|Car il est pres de sa uolente faire|sans contredit Or te couient|dont a fiencier fait lancelot
502,762|763,que tu le cors mon seignor Galehout conduiras a la Dolerose Garde|et iluec le feras garder,que tu le cors monseignor Galeholt conduiras a la ioieuse garde|Et y soies,que llebes el cuerpo demi señor galeote ala dolorosa guarda|e desque y fueres,che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia|; nel luogo il farai guardare tanto,que tu conduiras le corps de gallehaut a la douloureuse garde,que tu conduyras le corps de monss galehot a la douloreuse garde|Et ilecquez le feras garder,que tu le cors Galehot condiuras a la dolereuse garde|et illuec le feras garder
503,764,tant que je i viegne;,tant que iou y uiengne,,ch io vi vegna,tant que ie y uiengne,tant que ie y uiegne,tant que ie i uaigne
504,765|766,et se l en te demande|qui t i envoie,Et se on te demande|qui ti envoie,si te preguntaren quien te ymbia tu les diras,e se l uomo ti domanda chi ve l arà mandato,et se len te demande|qui te y enuoie,Et se len te demande|qui te y enuoye,et se lon te demande|qui ti enuoie:
505,767,si diras « cil,Si di|que cil ti envoie,,e tu lor di quelli,si dis: celui,tu diras cil,Si diras|que cil
506,768,qui ot les ames blanches le jor,qui ot lez blanches armes le iour,que el cauallero delas armas blancas,ch ebbe l armi bianche il giorno,qui eut les blanches armes le iour,qui eut les armes blanches le iour,qui ot les armes blanches|le ior
507,769,que li chastials fu conquis,que li castiaus fu conquis,que el castillo conquisto te ymbia alla,che l castello fu conquiso,que le chasteau fut cenquis,que le chasteau fut conquis,que li chastiax fu conquis
508,770,Et il li fiance,Et cil li fiance,e el cauallero selo juro,E elli il giura,et cefui lui promet,et il luy fiance,et cil li fiance
509,,,,,,Lors prent lancelot la lame par le gros chief,,
510,771,que tot ensi le fera il,que ensi le fera il AN tel maniere com vous olsiles conquist lancelot le cors Galeholt|Et lors y,asi façer|e lançarote se fue,ch elli insi el farà,et la tire de,que ainsi le fera il,que tout ainsi le fera il
511,,,,,,,,Lors prent lancelot
512,,,,,,,,la lemme par le plus gros chief
513,,,,,,,,si la tire de
514,,,,,,,Lors prent lancelot la lame par le plus gros bout,
515,,,,,Allor prende Lancellotto la lama per lo più grosso capo,,,
516,,,,luego parala tumba,,,,
517,,,quant il ot au cheualier fait fianchier a faire sa volente,,,,,
518,,,si prent le lame par le gros chief,,,,,
519,,,si le tire par,,,,,
520,772,si tire de grant force qu a pou qu il ne se deront tos,si grant force|que a poi quil ne sest tous derrompus,e tomo a manos el cobertor Porel Cabo|que mas hera grueso,si tira per|si gran forza,si graut force|que a peu quil ne se derompt tout,si tire de|si grant force qua pou quil ne se derompt tout,si grant force|que a pou quil ne se desront tous
521,,,,,che a poco,,,
522,,,,,che non,,,
523,,,,,si dirompe tutto,,,
524,773|774,si que li sans li vole par mi le nes|et par mi la boche,Si que li sans vole parmi le nes|et parmi la bouche,asi afuerça porlo leuantar quela sangre le quebro porla cabeça,e sì|che l sangue gli dirompe per me' el naso|e per me' la bocca,et,si que le sang luy uole par le nes|et par la bouche,Si que li sans li uole parmi le nes|et parmi la boche
525,775,et li cors li sue d anguoisse,Et li cors li tressue de langoisse,e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente|asi que,e l corpo gli suda della angoscia ma per tutte le distrezze non rimane,tant que le corps lui sue dangoisse,et le corps luy sue dangoesse,et li cors li sue dangoisse
526,776,Mais por tote la destrece ne remaint qu il n ait la tombe levee en haut à; mes nule dolors qu il eust onques ne monte rien a cele dolor qu il ot,que il en a|Mais nulle dolors quil ait eue ne monte riens a celi quil ot,por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado Mas nunca el tal duelo ovo|como estonçe,che non abbia la tomba levata in alti|ch elli avesse unque mai non fu nulla inverso quello dolore quand,mais nulle douleur quil eust|mais ne monte riens a celle douleur qu il eust,mais pour toute la destrece ne demeure pas quil ne leue la tombe en hault|ne nulle douleur quil eut oncquez,mais portoie la destresce ne remaint|que il nait la tombe leuee en haut
527,,,,,,,,mais nule dolors
528,,,,,,,,que il eust onques ne monte sur rien
529,,,,,,,,A cele
530,,,,,,,,que il ot
531,,,,,,,mais ne fu rien a celle douleur quil eut,
532,,,,e tal Pesar,,,,
533,777,quant il vit le cors Galehout tot ensi armé com il estoit;,quant il vit le cors Galeholt arme tout ensi com il estoit,quando el vido el cuerpo de Galeote|e estaua armado de todas armas,e vide il corpo di Galeotto tutto insì armato com egli era,quant il uist le corps de gallehaut tout arme ainsi comme il estoit,quant il uu le corps galehot tout ainsi arme comme il estoit,quant il uit le cors Galehot|ensi arme con il estoit
534,778,si trova s espee delés lui,Si troua lespee deles lui,e tenia su espada cabe,eSi truova sua spada dallato a llui,Si trouua son espee empres lui,si trouua lespee pres de luy,si troua lespee deles lui
535,779|780,qui molt estoit|et bone,qui tant estoit bele,si que hera muy buena,che molto era buona|e bella,qui tant estoit benne,qui moult estoit bonne,qui moult estoit bele|et bone
536,781,et clere;,et boine,e clara,e sanza fallo della spada medesi,et belle,et bele,
537,782,et sans faille de l espee meesmes se fust il ocis se la damoisele ne li eust tolue erraument,& sans faille de lespee se fust il ocis se la damoisele ne li eust desfendu|quar elle li osta lespee de sez mains,e sin falta el se ouiera conella muerto|si la donçella,ma si sarebbe elli ucciso se lla damigella non gliel avesse tolta perciò rimase,et sans faulte il sen eust occiz se la damoiselle ne lui eust ostee|Lors fist lancelot une biere de fust,Et sans faille de lespee mesmes se fust il occis se la damoiscle ne luy eust tollue erraument,et sans faille de lespee meismes ce fust il ocis se la damoisele ne li eust tolue|Lors fait lancelot
538,,,,,,,Lors fist lancelot faire une litiere de fust,
539,,,,,Allor fece Lancellotto fare una lettiera di legno,,,
540,,,,Que del lago auia venido delas manos no sela tirara,,,,
541,,,Lors fist lancelot vne biere de fust,,,,,
542,783,et la fist covrir des plus riches pailes de laiens,et le fist courir del plus riche paile de laiens,e luego fiço façer lançarote vnas andas|e cobrir de muy Ricos paños,e le facce coprire del più ricco palio di là entro,et la fist couurir du plus riche drap de leans,et la fist couurir des plus riches pales de leans,faire une biere de fust|et la fait courir des plus biax pailes de laiens
543,784,et quant il l ot atornee al plus richement qu il pot li chevaliers prisons li dist Sire fet il se l en movoit tot de nuis ce seroit sens,Et quant il lot atorne au plus richement quil pot|si li dist li cheualiers,e poner enellas el cuerpo de Galeote|e el cauallero Dixo a lançarote señor yo vosloaria,E quand elli l ebe aconcia al più riccamente|ch elli poté il cavaliere prigione gli disse,Quant il leust apointe le mieulz qu il peut le cheualier prisonnier lui dist|Sire il seroit bon de emporter le corps de nuit,Et quant il leut atournee au plus richement quil peut|le cheualier prisonnier luy dist,et quant il lot atornre au plus richement|que il pot
544,,,,,Sire diss elli se l uomo movesse di notte ciò sarebe gran senno,,,
545,785|786|787,—|Por quoi|? fet il,qui le deuoit mener Sire fait il|che seroit boin,si vos plugiese|que luego Mouiese de aqui conel cuerpo de galeote|Porque dixo lançarote,— Perché|? disse Lancellotto,Pour quoy fait lancelot Pource fait il,sire fait il se len mouuoit de nuyt ce seroit grant sens|pour quoy fait il,Li cheualiers prisons dit|si fait il se len mouoit tout de nuit se seroit sens|Por ce fait il
546,788|789,—|Por ce que se li chevalier de cest païs savoient,que nous mouissons de nuit|pourcoi fait lancelot|que se li cheualier de chest pais le sauoient,porque señor dixo el cauallero|porque si los caualleros desta tierra lo supieren,— Per ciò diss elli|che s|e cavalieri di questo paese sapessono,que se les cheualiers de ce pais sauoient,par ce|que si les cheualiers de ce pays sauoient,que ce li cheualier de cest pais sauoient
547,790|791,que l en len deust porter il feroient gaitier les trespas|si qu il seroit arestés en alcun lieu ;,que on len deust emporter|il feroient gaitier lez trespas|Si quil seroit arrestes en aucun lieu,que de aqui lo queredes llebar faran guardar los tres pasos|asi que sera detenido en algund lugar,che l uomo ne l dovesse portare elli farebono guardare intra passi sicché sarebbe arestato in alcuno luogo,que len le deust emporter ilz feroient garder le trespas,que len le deust la porter ilz feroient guecter les trepas|si quil seroit arreste en aucun lieu,que on le deust laiens porter: il feroient garder les trespas|si que il seroit arester en aucun lieu
548,792,et por ce vos loeroie je qu il meust orendroit,Et pour chou vous loeroie iou quil meust orendroit,e poresto seria bien,E perciò vo lodere' io,Et pour ce uous conseilleroie|que on partist,et pour ce uous loueroye ie quil meust maintenant,et porce loeroie ie|que il meust orendroit
549,793|794,kar il seroit bien eslongiés ains qu il fust jors XX|lieues englesches,Car il seroit eslongies|X|lieues ains quil fust iors,que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote,che vo' movereste oraindiritto ché l uomo sarebbe bene islungato|leghe inanzi,car il seroit bien eslongnie ains qu il feust iour dix lieues anglesches,car il sera bien esloigne auant quil soit iour de uingt lieues anglesches,Car il seroit bien eslongiez|xx|lieues Galesches ains quil fust iors
550,,,,,che fosse giorno,,,
551,795|796|797|798|799,Et il s i acorde bien;|si met la litiere sor Il|palefrois amblans|et enportent ensi Galehout fors de sa region;|si en font li frere grant duel,Et il|si acorde bien|si fait mettre le litiere sor|ij|palefrois|Et emportent ensi Galeholt hors de la maison|Si en ont li frere grant doel de ce,e luego fiço poner las andas sobre dos palafrenes muy andadores|e lleuarlo,VEd e' vi s acorda bene|si mette la lettiera sopra due palafreni ambianti sinne portano Galeotto fuori della religione ma molto ne sono|e frati di là entro dolenti,Et il se y accorde|si met la littiere sur deux pallefrois amblans|et emportent ainsi gallehaut hors de la maison|Si en ont les freres grant deul,Et il|si accorde bien|si mect la litierie sur deux palefroys amblans|et emportent ainsi galehot hors de la religion|si en font les freres grant deul,et il|si acorde bien|Si mestent la biere seur ii cheuaus anblans|et enportent ainsi Galehot fors de la religion|Si en font li frere moult grant duel
552,800|801,et molt en sont corocié|et dolenta de ce,,asi Mas mucho ouieron gran pesar los frailes,e crucciati dell uomo,et sont dolens,et sont moult corroucez|et doulans de ce,et moult en sont dolent
553,802,que l en l enporte,que on lemporte,quando asi lo vieron lleuar,che ne l porta,que on lemportoit,qui len lemporte,
554,803,Et Lancelos le convoie grant piece de nuis plorant,Et lancelot le conuoie grant piece de la nuit plaignant,e lançarote fue gran pieça llorando conel cuerpo de Galeote,sE Lancellotto l acompagna gran peza della notte piagnendo,Lancelot le compartie uoie grant piece de la nuit plourant|et plaignant,Et lancelot li conuoye grant piece de nuyt plourant,et lancelot le conuoie gn̾t piece de nuit plorant|et plangnant
555,,,,,,,et plaignant,
556,804|805,et regretant sa proesce|et sa valor,& plorant sa valour,e diçiendo sus proezas|e su valor,e facendo duolo|e rigratando sua prodeza|e suo valore,et regrettant sa prouesse|et sa ualeur,et regretant sa prouesce|et sa ualeur,et regretant sa proesce
557,806,et se ne fust la damoisele,Et se ne fust la damoisele,e si no fuese porla donçella,e se non fosse la damigella,Et se ne feust la damoiselle,et se ne fust la damoisele,et se ne fust la damoisele
558,807,qui avec lui estoit molt en eust plus fet qu il ne fist,qui auec lui estoit|moult en eust plus fait,que del lago auia venido Mucho fiziera mayor duelo,che con esso lui era molto n avesse più fatto|che non fece,qui auec lui estoit moult en eust fait plus quil ne faisoit:,qui auec luy estoit|moult en eust plus fait quelle ne fist,qui auec lui estoit moult en eust plus fait quil ne fist
559,808|809|810,mais ele l en detorna|et il deffendi al chevalier|que il nel feist en terre metre devant,mais cele len destorna|Et il commanda au cheualier quil ne fust enterres deuant chou quil venist a lui,mas ella selo estoruaua|e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo|Que el Cuerpo demi señor galeote no fagades enterrar fastaque yo mesmo alla vaya|e el Cauallero dixo,e l à gran peza insì acompagnato sì se ne tornò ma inanzi difende elli al cavaliere|che l uomo nol facesse soppellire nella Gioisosla Guardia inanzi,mais elle len destourna|Et lancelot commande au cheualier qu il ne feust enterre deuant quil uenist,mais elle len destourna|et il deffendy au cheualier quil ne le fist mectre en terre uicquez a ce,mais le le desfandi au cheualier|que il ne fust enterres deuant|que lanc᷑
560,811|812,que il fust venus|Si se part atant li uns de l autre,A tant sen part de lui lancelot,que asi lo faria|entonçe se partio dellos lançarote,ch e' vi fosse venuto|si si parte atanto l uno da l altro,Si se depart de lui,que luy mesmes y fust|Si se part atant lun de lautre,i fust uenus|Si se partent li un de lautre
561,813|814|815,et il retorne a l abeie|si se couche c onques la nuit ne volt mengier ne boivre|por chose,& retorne a labbaye|si se cosulche Ne onques la nuit ne volt mangier ne boire pour chose,e tornose al abadia|mas en toda aquella noche no quiso comer ni veuer|por cosa,Lancellotto ritorna alla badia|si si coricò né unque la notte non volle mangiare né bere per cosa,et retourne a la religien se couchier,et lancelot retourne a labaye|si si couche ne oncquez la nuit ne uoult boyre ne manger pour chose quon luy dist ains pleura,et lancelot retorne a labeye|et se coche ne onques la nuit ne uot mangier ne boire|por chose
562,816|817,que l en li deist ains plora|et dolosa tot adés;,que on li deist|ains plor& dolosa tout ades,que le dixesen|e non fazia sino llorar|e mucho se quexaua,che l uomo gli dicesse anzi piagne|e dolora tutto adesso,et oncques ne uoulut la boire ne mengier,et dolousa,que len li deist|ains plora|et dolosa tout ades
563,818|819,si li anuioit molt li jors|qui tant demoroit a venir,Si li anoia moult li iors|qui tant demoroit :,Porque tanto aquella noche le duraba,si gli anoiava molto il giorno|che tanto penava a venire,si lui ennuya moult le iour|qui tant demouroit a uenir,si luy ennuyoit moult le iour|qui tant demouroit a uenir,si li anuia moult li iors|qui tant demora a uenir
564,820,a Al matin,Et au matin,e luego,lsAl mattino,Et au matin,Au matin,Au mation
565,821|822,si tost com li jors aparut se leva|et oi messe entre lui,si tost com li iors apparut|se leua|et oy messe entre lui,Que el dia aparesçio lançarote se leuanto,si tosto come il giorno aparve|si leva Lancellotto|e udi messa intra lui,si tost comme le iour apparust se leua|et ouist messe lui,si tost|que le iour apparu se leua lancelot|et ouy misse luy,si tost con li iors aparut se lena lancelot|et oi messe entre lui
566,823,et la damoisele,et la damoisele,e la donzella otrosi,e la damigella,et la damoiselle,et la damoisele,et la damoisele
567,824|825,et puis s arma|Lors li dist ele les noveles de Boort,lors li dist elle lez noueles de bohort,e fueron a oyr misa|e desque la misa fue aCabada Armose|e despidiose del fraile,e poscia s armò|Allor gli disse la damigella novelle di Boordo,Lors elle lui dist nouuelles de boort,et puis sarma|et lors luy dist elle les nouueles de boort,et puis sarma|et lors dist ele les nouelles de behort
568,,,,e entro ensu camino conla donzella,,,,
569,,,,e ellos,,,,
570,,,,asi yendo la donçella le conto nuebas de boores,,,,
571,826,et ce qu ele en avoit veu devant Honguefort,comment elle lauoit veu deuant hongrefort,e de|como le contesçiera enel castillo de ongeforte,e ciò|ch ella n avea veduto davanti Unguelforte ed e' ne fu molto lieto,et que elle lauoit ueu deuant a honguefort|et comment il le fait,et ce quelle en auoit ueu deuant hunguefort,et se quele en auoit uen deuant le chastel de honguefort
572,827,et il en fu molt liés,et il en fu moult lies,e el fue dello muy alegre,Ed ella gli disse,et il en fut moult ioyeux,et il en fut moult lie,et il en fu moult liez
573,,,,,,,,et ele li dist
574,,,,e ella le dixo sabed señor,,,,
575,,,Et elle li dist,,,,,
576,828,Et ele li dist Sire il vos vet querant ne jamés ne finera tant qu il vos avra trové,Sire il vous ua querant|ne iamais ne finera deuant ce quil vous asulra trouue,que vos a buscado|e nunca jamas quedara fastaque vos falle Ay donçella dixo lançarote,Sire e' vo va cheggendo né giamai non finirà infino a|tanto che voi abbia trovato,Aprez elle lui dit|Sire il uous ua querant ne iamais ne finera deuant quil uous aura trouue,si luy dist|Sire il uous uait querant ne iamais ne finera iucqua ce quil uous ait trouue,Sire il uos ua querant ne ia|mais ne finera tant quil uos ait troue
577,829|830|831|832,— Damoisele fet il se vos le cuidiés trover ains de moi je vos voldroie proier|que vos feissiés tant|por moi|que vos li portissiés ceste espee,iou vous voldroie proier|que vous li portissies ceste espee,si vos lo cuidades fallar yo vos querria rrogar|que fiziesedes tanto pormi quele llebasedes esta espada,—Hal damigella diss elli se voi il credete trovare anzi di me i' vo vorrei pregare|che voi faceste tanto per l amor di me|che voi gli portaste questa spada,Damoiselle fait lancelot se uous le trouuez auant|que moy ie uous uouldroie prier|que uous lui porteissiez ceste espee,Haa damoistle fait il se uous le cuidiez trouuer auant moy ie uous uoudroye prier|que uous feissez tant pour amour de moy|que uous luy portassee ceste espee,ha; damoisele fait il se uus le cuidiez trouer ains de moi|Ie uous uodroie prier|que uous feissiez tant|por amor de moie:|que uos li portissiez ceste espee
578,833,qui fu mon seignor Galehout,qui fu monseignor Galeholt,que fue demi señor galeote,che fu di monsignor Galeotto,qui fut a mon compaignen gallehaut,qui fu a messire galehot,qui fu monsignor Galehot
579,,,,,e gli dite,,,
580,834|835,et li dites qu il la DOrt de par moi|que molt est bone,Et li dites quil le port de par moi|quar elle est moult bone,e dezilde quela traiga pormi amor|ca mucho es buena,che lla porti da parte di me ché molto est buona,et lui dictes quil la porte de par moy|car elle est moult bonne|et belle,et luy dices quil la porte de par moy|car moult est bonne,et li dires quil laport de par moi|car moult est bone
581,836|837,Et ele dist qu ele le trovera par tens|et bien fera cest message;,et moult bele|que elle le trouuera bien par tamps|& bien fera ce dist cest message,e fermosa yo lo fare dixo la donçella de grado,Ed ella dice|ch ella il troverrà per tempo|e bene farà questo mesaggio,Et elle dist|que elle le trouuera par temps|et bien fera ce message,Et elle dit quelle le trouuera tantost|et que bien fera ce message,et ele dist|que ele le trouera par tans|et que bien fera cest mesaige
582,838,si s en part atant de lui,Si sen part atant de lui,Luego se partio el vno del otro,si si parte atanto di lui,Si se part atant de elle,si se part atant de luy,Atant se part de lancelot|la damoisele
583,839,et il s en vet droit vers le chastel de Floego,Et il sen vait uers le castel de florega¬,e lançarote se fue contra el castillo de florenga,Ed e' se ne va tutto diritto inverso el castello del Flego,et sen ua uers le chasteau de florega,et il sen ua tout droit|uers le chastel de fleogo,et il sen ua tout droit uers le chastel de floego
584,,,,e andubo tanto,,,,
585,840,si i vint a hore de prime,Si y uin entor prime,que llego alla ante de prima,si vi venne a ora di prima,si y uint entour prime,si y uint a heure de prime,Si i uint a hore de prime
586,841|842,Et il esgarde es pres defors la vile|si voit molt grant gent entor le feu ou l en devoit ardoir la suer Meleagan,Et il regarde en mi lez pres dehors la vile,e vio ante la villa gran jente alrrededor de vn fuego,Ed e' riguarda nel prato di fuori la villa|si vi vide molto grande gente intorno uno fuoco,et il regarde es prez hors la uille|si y uist moult grant gent entour ung feu ou len deuoit ardoir la seur de meleagant,et il regarde es prez dehors la uille|si uoit moult grant gent entour ung feu,et des garde es pres de fors La uille|si auoit moult de gent entor|i
587,843|844|845,et quant il aperçoit le feu|si a poor de la damoisele|Lors broche le cheval,Si vit moult grant gent entor vn fu,e en aquel fuego auian de quemar ala hermanade meliangas|e lançarote,e quando elli apressima al fuoco|si à paura della damigella|che già era menata al fuoco per distrugere|i brocca il cavallo delli isproni,Quant il apperceust le feu|si eut grant paour de la damoiselle|Lors frappe le cheual des esperons,Et quant il aparceut le feu|si a paour de la damoisele,fe|Et quant il aparsoit le feu|si a paor de la damoisele|et lors broche li cheual
588,846|847,et vint errant cele part tant com il puet del cheval traire|Et quant il est venus jusque la,ou on deuoit ardoir le suer melyagant CNuant lancelot aperchut le fu,que aquello vido dio delas espuelas al cauallo|e llego alla,e viene in quelle parti correndo tanto come può del cavallo trarre|e quand egli è là venuto,et uient celle part,,et uient corant cele part|tant comme il puet de cheual traire|et|quant il uien iusque la
589,848|849,si esgarde|et voit la damoisele,si ot moult grant paour de la damoisele,ca bien cuidaua,si vide la damigella,et quant il uoit la damoiselle,,si esgarde|et uoit la damoisele
590,850|851,qui ja estoit amenee al feu|por destruire,qui y ia estoit menee au fu pour destruire,que ya quemauan la donçella,che già era menata al fuoco per liverarla a morte,qui ia estoit amenee au feu pour destruire laquelle estoit en une poure chemise,qui ia estoit amenee au feu pour destruire,que ia estoit amenee au feu|por destruire
